full_text,created_at,id
@cellbit @Quackity oi,2023-04-29 00:32:57+00:00,1652108673110405127
@cellbit @Quackity RAFAEL LANGE,2023-04-29 00:32:55+00:00,1652108667183833090
@cellbit @Quackity https://t.co/IlqIbHSBx5,2023-04-29 00:32:54+00:00,1652108663492952064
@cellbit @Quackity oi,2023-04-29 00:32:43+00:00,1652108615103176710
@cellbit @Quackity LETS GOOOOOOOOOOOOOO,2023-04-29 00:32:41+00:00,1652108607377293313
@cellbit @Quackity Oi,2023-04-29 00:32:39+00:00,1652108600351903745
@cellbit @Quackity CELLBIT OQ VOCÊ FEZ,2023-04-29 00:32:39+00:00,1652108599156506624
"@cellbit @Quackity Tchau, fudido",2023-04-29 00:32:33+00:00,1652108575685181444
@cellbit @Quackity HOLAAA,2023-04-29 00:32:32+00:00,1652108570438033408
@cellbit @Quackity OIII,2023-04-29 00:32:31+00:00,1652108565539110917
@cellbit @Quackity oi,2023-04-29 00:32:28+00:00,1652108552650084354
@cellbit @Quackity oi,2023-04-29 00:32:24+00:00,1652108537777012738
@cellbit @Quackity CELLBITTTTTT https://t.co/MHbEMtQb8f,2023-04-29 00:32:19+00:00,1652108515069009920
@cellbit @Quackity SEU SAFADOOOOOOOOOOOO,2023-04-29 00:32:18+00:00,1652108513538105345
@cellbit @Quackity sMT CELLBIT,2023-04-29 00:32:18+00:00,1652108511323488256
@cellbit @Quackity Oi cellbit 🤭,2023-04-29 00:32:10+00:00,1652108477353926657
@cellbit @Quackity Oi.,2023-04-29 00:32:09+00:00,1652108472035553281
@cellbit @Quackity oi,2023-04-29 00:32:08+00:00,1652108471343501312
@cellbit @Quackity Eu preciso de explicações agora de como foi essa interação com o Quackity,2023-04-29 00:32:07+00:00,1652108465676906499
@cellbit @Quackity VSF CELLBIT 😭😭😭😭,2023-04-29 00:32:04+00:00,1652108450820661249
@cellbit @Quackity oi,2023-04-29 00:32:03+00:00,1652108446634766342
@cellbit @Quackity Oi https://t.co/2SgIDztFL5,2023-04-29 00:32:02+00:00,1652108444596404227
@cellbit @Quackity oi,2023-04-29 00:32:01+00:00,1652108440414695424
@cellbit @Quackity VAAAAAAAAMOOOOOOOOOOS CEEEEEELLBITTTTTTT https://t.co/rp8KJuzAqy,2023-04-29 00:31:58+00:00,1652108426934120448
@cellbit @Quackity SAFADO,2023-04-29 00:31:53+00:00,1652108406432362503
@cellbit @Quackity OIEEEEEE,2023-04-29 00:31:47+00:00,1652108382260658179
@cellbit @Quackity oi cellbit oi,2023-04-29 00:31:47+00:00,1652108380779978754
@cellbit @Quackity welcome cellbit &lt;3,2023-04-29 00:31:47+00:00,1652108380322897920
@cellbit @Quackity NEM FUDENDO,2023-04-29 00:31:45+00:00,1652108373398106114
@cellbit @Quackity VSFD SEU CABELUDO FDP 😭😭😭😭😭😭😭,2023-04-29 00:31:43+00:00,1652108364179013633
@cellbit @Quackity TO TAO FELIZ,2023-04-29 00:31:43+00:00,1652108364157943809
@cellbit @Quackity OI,2023-04-29 00:31:42+00:00,1652108362035724294
"@cellbit @Quackity Oi, apenas queria dizer que eu estou indo aí invadir a sua casa e roubar seus bichinhos pelo surto que você me fez ter.",2023-04-29 00:31:41+00:00,1652108355211603968
@cellbit @Quackity Eu tava com muito medo dos emoji de ovo ser bait MAS BRASIL HOJE GANHAMOS MUITO,2023-04-29 00:31:39+00:00,1652108347993124866
